region_id,Comuna,NO
13,San Ramón,0.6635953463446679
13,Santiago,0.5512958895513022
13,Talagante,0.48900588417466706
13,Tiltil,0.5750966744006187
13,Vitacura,0.35066559267424113
14,Corral,0.542766631467793
14,Futrono,0.3724770642201835
14,La Unión,0.4411082169074118
14,Lago Ranco,0.3236675515621809
14,Lanco,0.38468287791426425
14,Los Lagos,0.4694789622847177
14,Máfil,0.3875324675324675
14,Mariquina,0.45567598402738163
14,Paillaco,0.42357363145720894
14,Panguipulli,0.4622491239248168
14,Río Bueno,0.4199628813362719
14,Valdivia,0.6538059056371991
15,Arica,0.5877224056954142
15,Camarones,0.14855875831485588
15,General Lagos,0.03262955854126679
15,Putre,0.13949275362318841
16,Bulnes,0.42057436776682383
16,Chillán,0.5525494523750193
16,Chillán Viejo,0.5525494523750193
16,Cobquecura,0.27960526315789475
16,Coelemu,0.5256667018024666
16,Coihueco,0.33490267089180625
16,El Carmen,0.23833790670325364
16,Ninhue,0.347495779403489
16,Ñiquén,0.2819390402075227
16,Pemuco,0.24983957219251338
16,Pinto,0.2320970774226628
16,Portezuelo,0.402864090786274
16,Quillón,0.42553707974268723
16,Quirihue,0.48250265111346763
16,Ránquil,0.4529627367135003
16,San Carlos,0.43931844315132934
16,San Fabián,0.2910737386804657
16,San Ignacio,0.3283241163741284
16,San Nicolás,0.4195302305350152
16,Treguaco,0.34650670430486946
16,Yungay,0.4112224910703998
