Comuna,"ACTIVIDADES ARTISTICAS, DE ENTRETENIMIENTO Y RECREATIVAS",ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS,ACTIVIDADES DE ATENCION DE LA SALUD HUMANA Y DE ASISTENCIA SOCIAL,ACTIVIDADES DE LOS HOGARES COMO EMPLEADORES; ACTIVIDADES NO DIFERENCIADAS DE LOS HOGARES,ACTIVIDADES DE ORGANIZACIONES Y ORGANOS EXTRATERRITORIALES,ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO,ACTIVIDADES FINANCIERAS Y DE SEGUROS,ACTIVIDADES INMOBILIARIAS,"ACTIVIDADES PROFESIONALES, CIENTIFICAS Y TECNICAS",ADMINISTRACION PUBLICA Y DEFENSA; PLANES DE SEGURIDAD SOCIAL DE AFILIACION OBLIGATORIA,"AGRICULTURA, GANADERIA, SILVICULTURA Y PESCA",COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACION DE VEHICULOS AUTOMOTORES Y MOTOCICLETAS,CONSTRUCCION,ENSEÑANZA,EXPLOTACION DE MINAS Y CANTERAS,INDUSTRIA MANUFACTURERA,INFORMACION Y COMUNICACIONES,OTRAS ACTIVIDADES DE SERVICIOS,"SUMINISTRO DE AGUA; EVACUACION DE AGUAS RESIDUALES, GESTION DE DESECHOS Y DESCONTAMINACION","SUMINISTRO DE ELECTRICIDAD, GAS, VAPOR Y AIRE ACONDICIONADO",TRANSPORTE Y ALMACENAMIENTO,Valor por Defecto,aporte,region_id,HHI_2021
CHEPICA,3.2724080653850433e-09,8.848591408801156e-06,5.235852904616069e-08,0.0,0.0,0.0025630318070112004,0.0008814591089001807,0.00019164530594120965,6.3353820145854435e-06,0.0,0.49661332108117573,0.01118771196634645,0.0002583926132508684,2.6506505329618845e-07,0.0,0.0002658013451109001,1.1391252475605335e-05,3.2724080653850433e-09,4.725357246416002e-06,0.0,0.00261542633254608,0.0,1748100,6.0,0.5146084141118266
CHIGUAYANTE,2.2747923085284718e-06,0.00010020119996351719,0.0007195887649034375,0.0,0.0,0.0020570737936525243,0.03418588129610945,0.006503782169762387,0.0003781290923976261,1.2895648007531018e-09,0.000898578505498567,0.0716173095421661,0.01763744620743241,5.741271449432884e-05,5.659980508305411e-06,0.018795684308006422,2.385179055472937e-05,1.46889490585783e-06,2.089175575020072e-06,2.0633036812049628e-08,0.0021285331733368567,8.059780004706886e-11,11138800,8.0,0.15511498740477547
CHILE CHICO,2.6259648418495605e-08,0.0006268243726615947,4.201543746959297e-07,0.0,0.0,0.00011964552310677061,0.0,1.9858859116487303e-05,7.58903839294523e-06,0.0,0.00808862820410711,0.014613914499267501,0.0026221834524772967,1.4771052235403778e-06,0.4280691968520669,0.00014574761363475523,2.6056136143252267e-05,1.6412280261559754e-07,0.0,0.0,0.00043698680933218536,0.0,1234200,11.0,0.45477871900235606
CHILLAN,8.32314485802864e-05,0.00045572547370850437,0.0016104219598470102,0.0,0.0,0.002250208467262124,0.00011654714785922882,0.0010118813807761954,0.0009519035617666289,3.800106316215867e-12,0.01211500634577755,0.21833378523536426,0.005496599270485616,7.738266694793541e-06,3.581562201970292e-05,0.006580106559951949,4.641839365523472e-05,2.9115745776134314e-05,3.9719809447813624e-05,2.611588864862508e-06,0.0022109878929814967,0.0,51298200,16.0,0.2513778241746195
CHILLAN VIEJO,1.0560785273749406e-08,4.513564117411564e-05,1.185184127346527e-05,0.0,0.0,0.00010039346500858029,1.7536843996140496e-05,0.001713039237340786,3.9619446003550506e-05,0.0,0.007402979127131492,0.12461815086102193,0.0034719520507266914,3.712776072802526e-08,5.053500765758993e-06,0.012912493280912823,9.425665869091247e-06,2.9108164410771794e-07,0.005156319911135137,2.6401963184373514e-09,0.056799501954818594,0.0,7784700,16.0,0.2123037942375646
CHIMBARONGO,1.3091217567356526e-07,2.6317521805784368e-05,0.00026551811185487916,0.0,0.0,0.00012696878034103092,1.1814823854539266e-05,1.5128538301276387e-05,2.834382187185416e-05,1.6697981591015976e-10,0.24854838079923816,0.08259115579392505,0.0004280028311207374,3.3813412721807346e-07,0.00014287210498813044,0.0035041651125514287,1.2349827184715416e-06,4.515134222210721e-07,6.01127337276575e-09,5.113756862248642e-06,0.005156378293279895,0.0,7738700,6.0,0.34085232201069177
CHOLCHOL,4.1144119209325226e-07,3.702970728839271e-06,0.0,0.0,0.0,8.33168413988836e-06,0.0,0.06370847992640138,2.3143567055245443e-05,0.0,0.0030785058595397376,0.11189647234436312,0.016705438141668253,1.645764768373009e-06,1.645764768373009e-06,0.009195813503582213,0.0005785891763811362,0.0,0.0031500966269639636,2.3143567055245443e-05,0.0016590337468180164,0.0,311800,9.0,0.21003445408542587
CHONCHI,3.012094316826197e-10,3.5643919307594477e-05,6.099490991573048e-07,0.0,0.0,0.0006420580245746721,0.0012072486070216662,3.774636114073917e-05,4.483201181164111e-06,0.0,0.25281075109812506,0.00720844291265941,0.0019158377708663953,6.777212212858942e-08,0.0,0.05416591980156531,3.689815538112091e-07,1.927740362768766e-08,3.012094316826197e-10,4.819350906921915e-09,0.00355196884895913,0.0,5761900,10.0,0.3215811719473497
CISNES,1.3561270719545087e-07,0.003603094017475935,0.0,0.0,0.0,0.0146788550395428,0.0,0.0048956187297557775,5.424508287818035e-07,0.0,0.052888989709402645,0.03066206700006825,0.013627585333363664,5.424508287818035e-07,0.0,3.692055953396151e-05,2.6580090610308373e-05,1.3561270719545087e-07,7.628214779744114e-06,0.0,0.04491496252631014,0.0,543100,11.0,0.16534365734791517
COBQUECURA,1.1890606420927467e-05,0.09155841260404282,0.0,0.0,0.0,0.0,7.431629013079667e-07,0.0011303507728894172,6.6884661117717e-06,0.0,0.023546373365041617,0.039655915576694414,2.67538644470868e-05,0.0,0.0,0.023811682520808564,0.004180291319857313,0.0,0.0,0.0,0.006427615933412603,0.0,116000,16.0,0.19035671819262784
