Comuna,pol_favor,pol_contra,region_id
GENERAL LAGOS,0.0404189521217129,0.0452826299205868,15
GORBEA,0.0328455253135433,0.032394175219317,9
GRANEROS,0.0263985889934774,0.0263912676833105,6
GUAITECAS,0.0305133091954318,0.0329597773569354,11
HIJUELAS,0.0363950191291628,0.034790025249526,5
HUALAIHUE,0.0631185574671601,0.0546511218280684,10
HUALAÑE,0.0500503679220747,0.0460361453072042,7
HUALPEN,0.0282019090896483,0.0275561894858423,8
HUALQUI,0.033110747117459,0.0331420227581263,8
HUARA,0.0555744306821231,0.0544490523151787,1
HUASCO,0.0316879334088662,0.0303146859922901,3
HUECHURABA,0.1051760088336342,0.0909700059459352,13
ILLAPEL,0.0349268704429061,0.0339946949347917,4
INDEPENDENCIA,0.0463008178324176,0.0455053523010425,13
IQUIQUE,0.0432550697810785,0.0423764797779432,1
ISLA DE MAIPO,0.0315244939702033,0.0307519498167533,13
ISLA DE PASCUA,0.0426411509211386,0.0414400256216494,5
JUAN FERNANDEZ,0.0154735198174765,0.0157038101571655,5
LA CISTERNA,0.0281314713746172,0.0282662033864512,13
LA CRUZ,0.0239074084286148,0.0243956857972056,5
LA ESTRELLA,0.0316148452819062,0.0331954814759862,6
LA FLORIDA,0.0322046309948197,0.0310083608018385,13
LA GRANJA,0.0320215190193455,0.0286842381995242,13
LA HIGUERA,0.0501118205334616,0.0384944836444137,4
LA LIGUA,0.0342795980303862,0.0341808873084564,5
LA PINTANA,0.0348585211923081,0.029864685226818,13
LA REINA,0.0484839832796815,0.0478225086530424,13
LA SERENA,0.0462230229159323,0.0462137667187497,4
LA UNION,0.0415259402934972,0.0404492286444186,14
LAGO RANCO,0.0728208779267181,0.0634287984872619,14
LAGO VERDE,0.0530937458920907,0.0619065546610498,11
LAGUNA BLANCA,0.0116129828869534,0.0116443095494186,12
LAJA,0.0306692712588041,0.0305833890473938,8
LAMPA,0.0355642949908435,0.0336033605346477,13
LANCO,0.0361894272008022,0.0358328842211662,14
LAS CABRAS,0.0443134600600095,0.0439634625730188,6
LAS CONDES,0.0703455071072937,0.0766366794666028,13
LAUTARO,0.0339502145432186,0.0347575065927312,9
LEBU,0.031973382027596,0.0312998995783078,8
LICANTEN,0.032551855958858,0.0304919336848058,7
LIMACHE,0.0270617520302721,0.0270391915270268,5
LINARES,0.0371408427593128,0.0364010146425921,7
LITUECHE,0.023703190362882,0.0243391917372926,6
LLAILLAY,0.025859029878719,0.0257080651576573,5
LLANQUIHUE,0.0478710464625658,0.043455210048914,10
LO BARNECHEA,0.137078484221263,0.1702021746674115,13
LO ESPEJO,0.03843746623065,0.0297662348008911,13
LO PRADO,0.0312129802127006,0.0293228654945289,13
LOLOL,0.0312232312272432,0.0314392744132984,6
LONCOCHE,0.0307077692593183,0.0294678595906058,9
LONGAVI,0.0473287926206508,0.0453847688039721,7
LONQUIMAY,0.0591216285998502,0.0529136077025025,9
LOS ALAMOS,0.0339007349584409,0.0335972465701546,8
LOS ANDES,0.0267409033278902,0.0263284152666309,5
LOS ANGELES,0.0360706414214698,0.0356296340219803,8
LOS LAGOS,0.034389516293701,0.0336231065609842,14
