Comuna,Poblacion 2021_hombre,Poblacion 2021_mujer,Poblacion 2022_hombre,Poblacion 2022_mujer
Pumanque,0.5075681130171544,0.4924318869828456,0.5070469798657719,0.4929530201342282
Punitaqui,0.49097394876229594,0.5090260512377041,0.49096353331194525,0.5090364666880548
Punta Arenas,0.5017704087548274,0.49822959124517263,0.5019870707927088,0.49801292920729123
Puqueldón,0.48884260636715265,0.5111573936328474,0.4887240356083086,0.5112759643916914
Purranque,0.4919241787042116,0.5080758212957884,0.49210590235608453,0.5078940976439155
Purén,0.4798196650923143,0.5201803349076857,0.4801842330762639,0.5198157669237361
Putaendo,0.4906637490882568,0.5093362509117433,0.4906697526399537,0.5093302473600463
Putre,0.5836538461538462,0.41634615384615387,0.5834127740705434,0.41658722592945663
Puyehue,0.503134457414613,0.49686554258538695,0.5031169389509889,0.4968830610490112
Queilén,0.5026800279655093,0.4973199720344908,0.5028982146997449,0.49710178530025506
Quellón,0.507182270053354,0.492817729946646,0.5071203244704822,0.4928796755295178
Quemchi,0.5067919075144509,0.49320809248554914,0.507269324888441,0.49273067511155894
Quilaco,0.49392592592592593,0.5060740740740741,0.4946871310507674,0.5053128689492326
Quilicura,0.49446098868374033,0.5055390113162597,0.4947424565681195,0.5052575434318806
Quilleco,0.4896691595893016,0.5103308404106984,0.4898165717900063,0.5101834282099936
Quillota,0.48225774620090783,0.5177422537990921,0.48232723867980964,0.5176727613201904
Quillón,0.4806864109189691,0.519313589081031,0.480110098957992,0.5198899010420079
Quilpué,0.47595210715010483,0.5240478928498952,0.4759981588442293,0.5240018411557706
Quinchao,0.4921838724655626,0.5078161275344374,0.4925027052094605,0.5074972947905395
Quinta Normal,0.48955524395067057,0.5104447560493295,0.4898845602698637,0.5101154397301363
Quinta de Tilcoco,0.5033777615482928,0.49662223845170717,0.5032065757384157,0.4967934242615843
Quintero,0.49130357460430374,0.5086964253956963,0.49138772663877267,0.5086122733612274
Quirihue,0.48200394149984443,0.5179960585001556,0.4817797047589553,0.5182202952410447
Rancagua,0.4910640208489912,0.5089359791510087,0.49096301297198247,0.5090369870280176
Rauco,0.488773552973034,0.5112264470269661,0.48865406006674084,0.5113459399332592
Recoleta,0.49510071120801535,0.5048992887919846,0.49522854774344044,0.5047714522565595
Renaico,0.4807692307692308,0.5192307692307693,0.48049921996879874,0.5195007800312013
Renca,0.49099476267875025,0.5090052373212497,0.49120514788743896,0.508794852112561
Rengo,0.49580500949231426,0.5041949905076857,0.4957125274902649,0.504287472509735
Requínoa,0.500928124325491,0.49907187567450895,0.5008296107211232,0.49917038927887686
Retiro,0.49402704505487843,0.5059729549451216,0.49383532808083236,0.5061646719191676
Rinconada,0.4896519285042333,0.5103480714957667,0.48956531765248473,0.5104346823475153
Romeral,0.493703967688287,0.506296032311713,0.4932864949258392,0.5067135050741608
Ránquil,0.47953100158982515,0.5204689984101749,0.47877591312931883,0.5212240868706811
Río Bueno,0.489586969168121,0.5104130308318789,0.4894710405316642,0.5105289594683359
Río Claro,0.5043739279588336,0.4956260720411664,0.5043359972793743,0.4956640027206257
Río Hurtado,0.4928977272727273,0.5071022727272727,0.49161693662972433,0.5083830633702756
Río Ibáñez,0.5186852769022963,0.48131472309770373,0.5187667560321716,0.4812332439678284
Río Negro,0.49879668419645246,0.5012033158035476,0.4987992528684515,0.5012007471315485
Río Verde,0.6615384615384615,0.3384615384615385,0.6597938144329897,0.3402061855670103
Saavedra,0.493657832319274,0.506342167680726,0.4937204035412806,0.5062795964587193
Sagrada Familia,0.49732759744492244,0.5026724025550776,0.49721574721574724,0.5027842527842528
Salamanca,0.4957527240382477,0.5042472759617522,0.4958182938638965,0.5041817061361036
