Comuna,"ACTIVIDADES ARTISTICAS, DE ENTRETENIMIENTO Y RECREATIVAS",ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS,ACTIVIDADES DE ATENCION DE LA SALUD HUMANA Y DE ASISTENCIA SOCIAL,ACTIVIDADES DE LOS HOGARES COMO EMPLEADORES; ACTIVIDADES NO DIFERENCIADAS DE LOS HOGARES,ACTIVIDADES DE ORGANIZACIONES Y ORGANOS EXTRATERRITORIALES,ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO,ACTIVIDADES FINANCIERAS Y DE SEGUROS,ACTIVIDADES INMOBILIARIAS,"ACTIVIDADES PROFESIONALES, CIENTIFICAS Y TECNICAS",ADMINISTRACION PUBLICA Y DEFENSA; PLANES DE SEGURIDAD SOCIAL DE AFILIACION OBLIGATORIA,"AGRICULTURA, GANADERIA, SILVICULTURA Y PESCA",COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACION DE VEHICULOS AUTOMOTORES Y MOTOCICLETAS,CONSTRUCCION,ENSEÑANZA,EXPLOTACION DE MINAS Y CANTERAS,INDUSTRIA MANUFACTURERA,INFORMACION Y COMUNICACIONES,OTRAS ACTIVIDADES DE SERVICIOS,"SUMINISTRO DE AGUA; EVACUACION DE AGUAS RESIDUALES, GESTION DE DESECHOS Y DESCONTAMINACION","SUMINISTRO DE ELECTRICIDAD, GAS, VAPOR Y AIRE ACONDICIONADO",TRANSPORTE Y ALMACENAMIENTO,Valor por Defecto,aporte,region_id,HHI_2021,HHI_2022
HUALQUI,7.789442641231748e-10,2.4865848271472048e-06,4.9662565239503166e-05,0.0,0.0,3.735894585161159e-05,0.28773358318489906,0.003943405337123573,0.0004849091622462229,0.0,0.005330670797979324,0.004052816627406577,0.02594230328677869,2.738475928558036e-05,0.0,0.0015082481629183741,1.1404522971027403e-05,2.8984516068023336e-06,3.115777056492699e-09,4.868401650769843e-09,0.00028889562762226715,0.0,7166000,8.0,0.3294160367798788,0.3294160367798788
HUARA,1.3254450685072438e-07,0.000687110723514155,0.0,0.0,0.0,8.284031678170274e-09,0.0,0.0,1.3254450685072438e-07,0.0,0.00025660616526300244,0.0012794604086617208,6.71006565931792e-05,0.0,0.8284031678170274,3.313612671268109e-06,0.0,1.8639071275883116e-06,0.0,0.0,1.3254450685072438e-07,0.0,1098700,1.0,0.8306990292084105,0.8306990292084105
HUASCO,4.031766916965215e-06,0.0010389338433537097,4.246757258105327e-06,0.0,0.0,0.0153144711883277,0.0,2.792082352468986e-09,3.6185387287998054e-06,0.0,0.0001105692532401243,0.0032748026783049966,0.09061929154400408,0.0,0.0004762426947782825,0.004503349626297227,3.227647199454148e-06,0.0,4.467331763950378e-08,1.5705463232638046e-05,0.14011522505056287,0.0,1892500,3.0,0.25548376351760493,0.25548376351760493
HUECHURABA,4.578395273198533e-06,0.0007372912068713364,5.40601018034265e-05,0.0,0.0,0.005957529259381428,0.0049098092297640865,0.005010676361243423,0.0031046663719309807,0.0,0.00044835481993016617,0.11653914654691983,0.010956979596771882,2.564259403229177e-05,0.00016720185635164833,0.007147010439134961,0.0023543982760613935,6.607705859206378e-06,3.239575330776286e-05,0.00012426164751002555,0.0026871393078059936,3.818247191201909e-09,291300000,13.0,0.16026775328820023,0.16026775328820023
ILLAPEL,1.1120095035890608e-06,0.0011890606420927466,0.0005080667171007457,0.0,0.0,0.000493905276072539,5.62954811191962e-08,0.0007061705151591971,0.00014706325684965327,0.0,0.0006512372456818975,0.17741036386074086,0.01176869195400742,2.0561055721361734e-05,0.010014768709418117,0.0020014843603258187,6.272428606182044e-06,7.373318014735216e-06,2.1284556904634368e-05,6.272428606182044e-06,0.02767242599740775,6.95005939743163e-10,3793200,4.0,0.2326261713227005,0.2326261713227005
INDEPENDENCIA,0.0003861974155393798,0.000664279840704801,0.0005623547737976252,6.653430547478939e-11,0.0,0.0019927684884265204,0.004425341718547754,0.0006431126791369627,0.00015356919857801774,0.0,1.9275857400411755e-05,0.15621503254164448,0.02240542906941851,2.2403597675234774e-06,2.339096676848065e-08,0.024146733287717624,9.362634694515749e-05,0.00022642306545541356,0.0003825991363394508,1.7818302845557818e-07,0.000952933614737919,1.6633576368697348e-11,49038500,13.0,0.21327211905132068,0.21327211905132068
IQUIQUE,2.57321676776181e-06,0.0007227900327867913,0.0003428864224588713,0.0,0.0,0.0003796789949578801,0.00011814172568846141,0.0005340736432000358,0.00019289189163332123,2.7716058177512053e-13,2.507697502897313e-05,0.5186902727809662,0.001467172003214593,3.134186071322858e-05,0.0009358114874439989,0.0008150094070866687,1.996624919984193e-06,8.488042816863066e-07,9.578339885055853e-07,5.088737571536656e-07,0.0028046302870971206,1.634759629849287e-07,189947800,1.0,0.5270668263422312,0.5270668263422312
ISLA DE MAIPO,2.8518888340150925e-05,0.00017970650825311184,8.490226220965558e-06,0.0,0.0,0.00027055466827004406,0.0008629884899112058,0.0003664759582530431,0.00044952973278903827,0.0,0.050240425456507254,0.03291368721757934,0.0017188889181853182,1.5902769590297882e-05,0.0001880669813400641,0.12947000357632868,7.698257396896645e-06,8.010673670027727e-07,5.712302607170388e-07,3.2042694680110903e-08,0.0039714713659336,0.0,10055600,13.0,0.2206938133552214,0.2206938133552214
ISLA DE PASCUA,2.0348716825736274e-06,5.043039031467088e-05,1.990875756544448e-06,0.0,0.0,0.004238899526622973,0.32565025120389945,0.0365796614004101,0.00028721141549089093,0.0,1.144615321447665e-06,0.002710957799108715,2.4041489633431316e-06,1.8197003503544165e-06,0.0,6.947990504061653e-06,4.0630117480498936e-08,1.3847898028856442e-07,1.5386553365396045e-08,0.003918130278657049,0.0005820771604512737,0.0,6449400,5.0,0.3740341558731846,0.3740341558731846
JUAN FERNANDEZ,0.0,0.015513987918086143,0.0,0.0,0.0,0.005065791973252619,0.0,0.0,0.0,0.0,0.0032421068628816756,0.16748774711566472,0.014640138802700067,0.0,0.0,1.2664479933131545e-05,0.0,0.0,0.0,0.0,0.04559212775927357,0.0,28100,5.0,0.25155456491179196,0.25155456491179196
LA CALERA,1.1878436032778532e-06,0.0004925132053409645,0.0005298832755288042,0.0,0.0,0.0025414248024975155,0.0001242672422290286,0.00018729850093338984,0.0028130829384885054,1.203841316776348e-08,0.00806701241266079,0.14008241186475046,0.0019402970742566578,4.345867153562617e-06,1.714323539148043e-06,0.027604123982912242,1.7998765287269486e-07,5.350405852339325e-07,0.00014921746881589143,1.546267291326065e-08,0.01799050260200766,0.0,13671200,5.0,0.20253002593404207,0.20253002593404207
