region_id,Región,Comuna,Pacto,Partido,Nro.voto,Nombres,Primer apellido,Segundo apellido,Votos,Cargo,Coalicion1,Coalicion2
6,DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,PICHIDEGUA,UNIDOS POR LA DIGNIDAD,PARTIDO DEMOCRATA CRISTIANO,251.0,MARCOS AURELIO,FUENTES,ULLOA,2666,ALCALDE,0,0
6,DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,PICHILEMU,INDEPENDIENTES,INDEPENDIENTES,254.0,CRISTIAN ANDRES,POZO,PARRAGUEZ,2717,ALCALDE,1,0
6,DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,PLACILLA,UNIDOS POR LA DIGNIDAD,PARTIDO DEMOCRATA CRISTIANO,250.0,MANUEL TULIO,CONTRERAS,ALVAREZ,2971,ALCALDE,0,0
6,DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,PUMANQUE,INDEPENDIENTES,INDEPENDIENTES,251.0,VICTOR GONZALO,BARAONA,BEZANILLA,1746,ALCALDE,1,0
6,DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,SAN FERNANDO,INDEPENDIENTES,INDEPENDIENTES,253.0,PABLO FRANCISCO,SILVA,PEREZ,8322,ALCALDE,1,0
6,DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,SANTA CRUZ,CHILE VAMOS,INDEPENDIENTES-LISTA XX,253.0,GUSTAVO WILLIAM,AREVALO,CORNEJO,6000,ALCALDE,1,1
6,DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,SAN VICENTE,UNIDAD POR EL APRUEBO,INDEPENDIENTES-LISTA K,250.0,JAIME ENRIQUE,GONZALEZ,RAMIREZ,9312,ALCALDE,0,0
7,DEL MAULE,CONSTITUCION,UNIDAD POR EL APRUEBO,PARTIDO RADICAL DE CHILE,250.0,FABIAN MANUEL,PEREZ,HERRERA,8493,ALCALDE,0,0
7,DEL MAULE,CUREPTO,UNIDAD POR EL APRUEBO,PARTIDO POR LA DEMOCRACIA,250.0,RENE ALEJANDRO,CONCHA,GONZALEZ,2744,ALCALDE,0,0
7,DEL MAULE,CURICO,UNIDOS POR LA DIGNIDAD,PARTIDO DEMOCRATA CRISTIANO,250.0,JAVIER ANTONIO,MUÑOZ,RIQUELME,20374,ALCALDE,0,0
7,DEL MAULE,EMPEDRADO,INDEPENDIENTES,INDEPENDIENTES,252.0,GONZALO ANTONIO,TEJOS,PEREZ,1221,ALCALDE,1,0
7,DEL MAULE,HUALAÑE,UNIDOS POR LA DIGNIDAD,PARTIDO DEMOCRATA CRISTIANO,251.0,CAROLINA ALEJANDRA,MUÑOZ,NUÑEZ,3591,ALCALDE,0,0
7,DEL MAULE,LICANTEN,INDEPENDIENTES,INDEPENDIENTES,251.0,OSCAR MARCELO,FERNANDEZ,VILOS,2555,ALCALDE,1,0
7,DEL MAULE,MAULE,UNIDOS POR LA DIGNIDAD,PARTIDO DEMOCRATA CRISTIANO,250.0,LUIS GABRIEL,VASQUEZ,GALVEZ,6483,ALCALDE,0,0
7,DEL MAULE,MOLINA,UNIDOS POR LA DIGNIDAD,PARTIDO DEMOCRATA CRISTIANO,250.0,PRISCILLA ELENA,CASTILLO,GERLI,10944,ALCALDE,0,0
7,DEL MAULE,PELARCO,CHILE VAMOS,UNION DEMOCRATA INDEPENDIENTE,252.0,LUIS BERNARDO,VASQUEZ,BOBADILLA,2819,ALCALDE,1,1
7,DEL MAULE,PENCAHUE,INDEPENDIENTES,INDEPENDIENTES,252.0,JOSE MIGUEL,TOBAR,ARAVENA,2336,ALCALDE,1,0
7,DEL MAULE,RAUCO,UNIDAD POR EL APRUEBO,PARTIDO RADICAL DE CHILE,250.0,ENRIQUE FRANCISCO IGNACIO,OLIVARES,FARIAS,2195,ALCALDE,0,0
7,DEL MAULE,RIO CLARO,CHILE VAMOS,RENOVACION NACIONAL,251.0,AMERICO GUSTAVO,GUAJARDO,OYARCE,3138,ALCALDE,1,1
7,DEL MAULE,ROMERAL,UNIDAD POR EL APRUEBO,PARTIDO SOCIALISTA DE CHILE,250.0,CARLOS ALBERTO,VERGARA,ZEREGA,5157,ALCALDE,0,0
7,DEL MAULE,SAGRADA FAMILIA,CHILE VAMOS,UNION DEMOCRATA INDEPENDIENTE,251.0,MARTIN ABDON,ARRIAGADA,URRUTIA,4452,ALCALDE,1,1
7,DEL MAULE,SAN CLEMENTE,INDEPENDIENTES,INDEPENDIENTES,252.0,MARIA INES,SEPULVEDA,FUENTES,5899,ALCALDE,1,0
